timesteps,ep_rew_mean,ep_len_mean,eval,best
500000,74.43,38.4,193.0,193.0
1000000,79.63,45.1,207.4,207.4
1500000,92.52,50.5,224.4,224.4
2000000,104.0,53.3,205.8,224.4
2500000,127.63,67.0,177.1,224.4
3000000,176.57,94.8,158.7,224.4
3500000,273.6,165.0,289.4,289.4
4000000,571.25,323.1,247.0,289.4
4500000,873.42,516.6,-99.9,289.4
5000000,1145.02,630.1,53.7,289.4
5500000,1389.33,709.8,21.8,289.4
6000000,1654.78,753.9,376.5,376.5
6500000,1597.88,728.4,446.4,446.4
7000000,1659.01,741.3,464.1,464.1
7500000,1619.05,748.5,391.7,464.1
8000000,1827.69,763.5,813.2,813.2
8500000,1801.47,741.1,1428.9,1428.9
9000000,1923.36,769.0,1554.9,1554.9
9500000,2103.55,794.9,1571.2,1571.2
10000000,2128.76,775.6,1464.6,1571.2
10500000,2208.87,776.5,1539.1,1571.2
11000000,2342.37,792.5,1510.1,1571.2
11500000,2470.99,800.0,1330.5,1571.2
12000000,2558.74,800.0,1197.7,1571.2
12500000,2500.07,776.3,1450.6,1571.2
13000000,2614.47,795.5,1578.7,1578.7
13500000,2039.09,692.0,1374.5,1578.7
14000000,2669.14,800.0,1568.9,1578.7
14500000,2652.15,791.2,1417.1,1578.7
15000000,2736.37,798.6,1629.6,1629.6
15500000,2774.9,800.0,1616.8,1629.6
16000000,2817.79,800.0,1647.9,1647.9
16500000,2885.95,800.0,1614.9,1647.9
17000000,2920.62,800.0,1627.5,1647.9
17500000,2956.48,800.0,1649.1,1649.1
18000000,2974.79,800.0,1683.7,1683.7
18500000,2946.19,793.9,1607.9,1683.7
19000000,3007.43,800.0,1673.9,1683.7
19500000,3008.55,800.0,1590.1,1683.7
20000000,3008.63,800.0,1595.8,1683.7
18000016,2974.79,800.0,1684.2,1684.2
18000032,2974.79,800.0,1684.3,1684.3
18000048,2974.79,800.0,1684.4,1684.4
18000064,2974.79,800.0,1683.7,1684.4
18000080,2974.79,800.0,1683.9,1684.4
18000096,2974.79,800.0,1684.7,1684.7
18000112,2974.79,800.0,1684.1,1684.7
18000128,2974.79,800.0,1683.8,1684.7
18000144,2974.79,800.0,1683.4,1684.7
18000160,2974.79,800.0,1683.8,1684.7
18000176,2974.79,800.0,1683.9,1684.7
18000192,2974.79,800.0,1683.9,1684.7
18000208,2974.79,800.0,1683.8,1684.7
18000224,2974.79,800.0,1683.7,1684.7
18000240,2974.79,800.0,1683.2,1684.7
18000256,2974.79,800.0,1683.6,1684.7
18000272,2974.79,800.0,1683.6,1684.7
18000288,2974.79,800.0,1683.7,1684.7
18000304,2974.79,800.0,1683.3,1684.7
18000320,2974.79,800.0,1683.3,1684.7
18000336,2974.79,800.0,1683.8,1684.7
18000352,2974.79,800.0,1684.0,1684.7
18000368,2974.79,800.0,1683.2,1684.7
18000384,2974.79,800.0,1683.1,1684.7
18000400,2974.79,800.0,1683.1,1684.7
18000416,2974.79,800.0,1683.4,1684.7
18000432,2974.79,800.0,1682.8,1684.7
18000448,2974.79,800.0,1683.0,1684.7
18000464,2974.79,800.0,1683.8,1684.7
18000480,2974.79,800.0,1683.7,1684.7
18000496,2974.79,800.0,1683.6,1684.7
18000512,2974.79,800.0,1683.7,1684.7
18000528,2974.79,800.0,1683.2,1684.7
18000544,2974.79,800.0,1683.4,1684.7
18000560,2974.79,800.0,1683.6,1684.7
18000576,2974.79,800.0,1683.4,1684.7
18500000,3190.37,800.0,1731.6,1731.6
19000000,3244.22,800.0,1713.9,1731.6
19500000,3278.88,800.0,1672.3,1731.6
20000000,3310.34,800.0,1701.3,1731.6
20500000,3261.47,794.4,1730.2,1731.6
21000000,3321.59,800.0,1730.9,1731.6
21500000,3337.42,797.2,1714.5,1731.6
22000000,3296.21,795.5,1694.9,1731.6
22500000,3336.1,800.0,1753.3,1753.3
23000000,3319.69,800.0,1737.0,1753.3
23500000,3317.49,800.0,1739.9,1753.3
24000000,3362.3,800.0,1707.4,1753.3
24500000,3341.92,797.2,1738.0,1753.3
25000000,3407.04,800.0,1756.2,1756.2
25500000,3356.02,797.1,1682.6,1756.2
26000000,3421.91,800.0,1740.6,1756.2
26500000,3413.66,800.0,1724.3,1756.2
27000000,3418.44,794.4,1738.9,1756.2
27500000,3444.44,800.0,1727.6,1756.2
28000000,3475.51,800.0,1724.1,1756.2
28500000,3470.9,799.8,1711.4,1756.2
29000000,3423.86,800.0,1696.7,1756.2
29500000,3452.46,800.0,1708.6,1756.2
30000000,3431.54,800.0,1727.4,1756.2
25000016,3407.04,800.0,1756.7,1756.7
25000032,3407.04,800.0,1756.6,1756.7
25000048,3407.04,800.0,1756.7,1756.7
25000064,3407.04,800.0,1756.7,1756.7
25000080,3407.04,800.0,1756.7,1756.7
25000096,3407.04,800.0,1756.7,1756.7
25000112,3407.04,800.0,1756.7,1756.7
25000128,3407.04,800.0,1756.6,1756.7
25000144,3407.04,800.0,1756.4,1756.7
25000160,3407.04,800.0,1756.5,1756.7
25000176,3407.04,800.0,1756.5,1756.7
25000192,3407.04,800.0,1756.5,1756.7
25000208,3407.04,800.0,1756.5,1756.7
25000224,3407.04,800.0,1756.5,1756.7
25000240,3407.04,800.0,1756.3,1756.7
25000256,3407.04,800.0,1756.5,1756.7
25000272,3407.04,800.0,1756.3,1756.7
25000288,3407.04,800.0,1756.3,1756.7
25000304,3407.04,800.0,1756.3,1756.7
25000320,3407.04,800.0,1756.3,1756.7
25000336,3407.04,800.0,1756.2,1756.7
25000352,3407.04,800.0,1756.4,1756.7
25000368,3407.04,800.0,1756.3,1756.7
25000384,3407.04,800.0,1756.5,1756.7
25000400,3407.04,800.0,1756.5,1756.7
25000416,3407.04,800.0,1756.4,1756.7
25000432,3407.04,800.0,1756.4,1756.7
25000448,3407.04,800.0,1756.4,1756.7
25000464,3407.04,800.0,1756.4,1756.7
25000480,3407.04,800.0,1756.1,1756.7
25000496,3407.04,800.0,1756.2,1756.7
25000512,3407.04,800.0,1756.3,1756.7
25000528,3407.04,800.0,1756.1,1756.7
25000544,3407.04,800.0,1755.9,1756.7
25000560,3407.04,800.0,1756.2,1756.7
25000576,3407.04,800.0,1756.3,1756.7
25000592,3407.04,800.0,1756.3,1756.7
25000608,3407.04,800.0,1756.3,1756.7
25000624,3407.04,800.0,1756.3,1756.7
25000640,3407.04,800.0,1756.1,1756.7
25000656,3407.04,800.0,1756.0,1756.7
25000672,3407.04,800.0,1756.0,1756.7
25000688,3407.04,800.0,1756.2,1756.7
25000704,3407.04,800.0,1756.2,1756.7
25000720,3407.04,800.0,1756.2,1756.7
25000736,3407.04,800.0,1756.1,1756.7
25000752,3407.04,800.0,1756.1,1756.7
25000768,3407.04,800.0,1756.1,1756.7
25000784,3407.04,800.0,1756.2,1756.7
25000800,3407.04,800.0,1756.2,1756.7
25500000,3524.33,800.0,1727.4,1756.7
26000000,3576.0,800.0,1737.3,1756.7
26500000,3599.83,800.0,1728.6,1756.7
27000000,3594.68,800.0,1695.8,1756.7
